회사명,종목코드,상장일,총자산(요약재무),부채(요약재무),자본금(요약재무),매출액(영업수익),영업이익,당기순이익(포괄손익계산서),영업활동으로인한현금흐름,부채비율(표준재무),ROA(표준재무),ROE(표준재무),EBITDA마진율(표준재무),자기자본비율(표준재무),공모가 (원),공모금액 (천원),Unnamed: 17,총차입금/EBITDA(표준재무),총자산증가율(표준재무),유동자산증가율(표준재무),당좌자산증가율(표준재무),자기자본증가율(표준재무),매출액(영업수익)증가율(표준재무),영업이익증가율(보고서기재)(표준재무),EBITDA증가율(표준재무),순이익증가율(표준재무),순이익률(표준재무),유동비율(표준재무),현금비율(표준재무),유동부채비율(표준재무),이자보상배율(표준재무),재고자산회전율(표준재무),총자산회전율(표준재무),상장유형,증권구분,업종,상장주선인/,최초상장주식수 (주),상장일 시초가,상장일 종가
세미파이브,490470,2025-12-29,179971193.0,53951768.0,28268800.0,75985475.0,-22489297.0,-289737326.0,-17551255.0,42.81,-165.75,440.47,-23.92,70.02,24000,129600000,,-0.36,6.09,,,,89.6,-33.04,-37.57,적확,-381.31,144.38,69.32,35.74,-15.96,9443.88,0.43,신규상장,주권,"건축기술, 엔지니어링 및 관련 기술 서비스업","삼성증권(주),유비에스증권 리미티드 서울지점",33710466,41700.0,27650.0
리브스메드,491000,2025-12-24,54416918.0,12952025.0,10722834.0,27143706.0,-14810327.0,-27376112.0,-17994474.0,31.24,-46.35,76.21,-48.57,76.2,55000,135850000,,-0.64,-14.59,-30.54,-33.34,-136.59,60.08,27.28,24.18,적축,-100.86,472.52,188.73,19.86,-1.71,7.47,0.46,신규상장,주권,의료용 기기 제조업,"미래에셋증권 주식회사,삼성증권(주)",24681691,66000.0,49600.0
알지노믹스,476830,2025-12-18,28146871.0,121363989.0,1698900.0,,-12861965.0,-18850121.0,-11237018.0,-130.19,-77.97,22.45,,-331.18,22500,46350000,,-0.14,39.29,53.01,53.01,24.74,,-17.14,-19.13,적확,,20.39,19.92,-128.71,-2.77,,0.0,신규상장,주권,자연과학 및 공학 연구개발업,"엔에이치투자증권(주),삼성증권(주)",13756000,90000.0,90000.0
나라스페이스테크놀로지,478340,2025-12-17,32650751.0,76774362.0,400000.0,4299000.0,-4432876.0,-10733485.0,-2947379.0,-174.0,-49.95,27.52,-63.95,-135.14,16500,28380000,,-0.43,216.15,457.13,388.88,30.21,164.1,47.64,16.95,적축,-249.67,29.91,21.79,-172.49,-4.32,2.53,0.2,신규상장,주권,"항공기,우주선 및 부품 제조업",삼성증권(주),11533591,34000.0,27150.0
티엠씨,217590,2025-12-15,226633650.0,146920271.0,1974422.0,354318164.0,13418587.0,6124433.0,15883473.0,184.31,2.64,7.76,4.75,35.17,9300,56730000,,5.06,-4.25,-6.46,-20.7,1.93,4.48,-6.69,-4.34,24.97,1.73,101.36,22.37,146.82,2.99,7.45,1.53,신규상장,주권,절연선 및 케이블 제조업,미래에셋증권 주식회사,24094225,22550.0,16770.0
쿼드메디슨,464490,2025-12-12,31895568.0,20353725.0,4675919.0,9303611.0,-3282108.0,-5029625.0,2182075.0,176.35,-17.61,-49.06,-1.39,36.19,15000,25500000,,-56.83,26.47,127.45,127.45,28.77,819.58,-65.52,-98.26,적축,-54.06,185.66,164.06,53.59,-8.86,7.84,0.33,신규상장,주권,기초 의약물질 제조업,엔에이치투자증권(주),11341443,23950.0,17630.0
이지스,261520,2025-12-11,54032056.0,22329831.0,800642.0,30275625.0,2387693.0,3125610.0,3764325.0,70.44,6.58,13.26,10.89,58.67,15000,22500000,,4.11,31.71,24.37,13.93,105.3,41.43,-20.53,-11.84,-7.85,10.32,154.15,107.61,40.68,1.9,,0.64,신규상장,주권,소프트웨어 개발 및 공급업,엔에이치투자증권(주),9551420,32000.0,20500.0
씨엠티엑스,388210,2025-11-20,180171308.0,180459077.0,196913.0,108430711.0,16635555.0,16388669.0,33024615.0,-62709.92,9.5,-171.01,22.54,-0.16,60500,60500000,,1.42,9.39,,,,59.44,305.1,199.25,흑전,15.11,33.84,13.17,-58564.94,3.84,4.45,0.63,신규상장,주권,전자부품 제조업,미래에셋증권 주식회사,9272688,152000.0,131600.0
더핑크퐁컴퍼니,403850,2025-11-18,121338729.0,31525583.0,1235101.0,77568970.0,19373931.0,4908548.0,35797661.0,35.1,4.32,5.59,29.7,74.02,38000,76000000,,0.19,14.51,24.79,29.16,4.69,7.45,216.24,115.72,흑전,6.33,324.65,244.98,31.64,198.53,29.22,0.68,신규상장,주권,"영화, 비디오물, 방송프로그램 제작 및 배급업","미래에셋증권 주식회사,삼성증권(주)",14351010,58000.0,41550.0
세나테크놀로지,61090,2025-11-14,127062128.0,21246595.0,2519700.0,141634957.0,17667074.0,15852102.0,29972640.0,20.08,13.68,16.34,12.77,83.28,56800,31808000,,0.0,21.31,19.37,48.61,19.9,26.34,110.69,106.48,104.33,11.19,463.64,185.02,19.99,,6.75,1.22,신규상장,주권,통신 및 방송 장비 제조업,"신한투자증권 주식회사,KB증권(주)",5577274,122600.0,80200.0
